AIN0,AIN1,AIN2,AIN3
352,273,273,271
352,274,272,271
351,273,272,271
352,273,272,271
352,274,273,272
352,273,272,271
362,274,273,272
361,273,272,271
359,274,273,272
358,273,272,271
357,273,273,271
356,273,272,271
355,273,272,271
355,274,273,272
355,273,272,271
354,274,273,272
354,273,272,271
354,274,273,272
354,273,273,272
354,273,272,271
353,273,272,272
353,274,272,271
353,274,273,271
353,273,272,271
353,274,273,272
353,273,272,271
353,273,273,272
353,273,272,271
353,274,273,271
353,273,272,271
353,274,273,271
353,274,273,271
353,273,272,272
353,273,273,271
353,274,273,271
353,273,272,271
353,274,273,272
353,273,272,271
353,274,273,272
353,273,272,271
355,274,273,272
354,274,272,271
354,274,273,272
354,273,273,271
354,273,273,272
354,274,273,271
354,273,272,271
354,274,273,271
354,273,272,271
354,274,273,272
354,273,272,271
354,274,273,272
354,273,272,271
354,274,273,271
354,273,272,271
354,274,273,272
354,273,272,271
354,273,272,271
354,273,273,271
354,273,272,271
354,274,273,271
354,273,272,271
354,273,273,271
354,273,272,271
354,273,272,271
354,274,272,271
354,273,271,271
355,273,273,272
355,273,272,271
355,273,273,271
355,273,272,271
355,273,272,271
355,273,273,271
355,273,272,271
355,274,272,271
355,273,271,271
354,274,273,271
354,273,272,271
354,273,272,271
354,273,272,270
355,273,271,271
355,273,272,271
355,273,271,271
355,273,273,271
355,273,271,271
355,273,272,271
355,273,272,271
355,273,272,271
355,273,272,271
355,273,272,271
355,273,272,271
355,273,272,271
355,273,272,271
356,273,271,271
356,273,273,271
356,272,271,271
355,273,272,271
355,273,272,270
355,273,271,271
356,273,272,271
356,273,271,271
356,273,272,271
356,273,272,270
356,273,271,271
356,273,272,271
356,273,272,271
356,273,271,271
356,273,272,271
355,273,272,270
355,273,271,271
355,273,272,271
355,273,271,271
355,273,272,271
355,273,271,270
355,273,271,271
355,273,272,271
355,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,272,270
355,273,272,271
355,273,272,270
355,272,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,271,271
355,273,272,271
355,273,272,271
356,272,271,271
355,273,272,271
355,272,271,270
355,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,272,270
355,273,271,271
355,273,273,271
355,273,272,271
355,273,272,271
355,273,272,270
355,272,271,271
356,273,273,271
356,272,271,271
355,273,272,271
355,273,272,270
355,273,271,271
