DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-132,-130,0,0,299,278,275,277,1590185270080
-131,-130,0,-1,300,278,277,276,1590185272527
-132,-132,0,0,299,278,277,277,1590185274957
-132,-131,0,0,299,277,275,275,1590185277397
-131,-131,0,0,300,277,277,277,1590185279827
-132,-132,0,0,299,278,277,277,1590185282257
-133,-130,0,-1,299,277,276,275,1590185284687
-132,-130,0,-1,300,277,275,274,1590185287116
-131,-130,0,-1,300,277,275,275,1590185289546
-131,-131,0,0,300,277,275,275,1590185291988
-133,-130,0,-1,299,277,275,274,1590185294417
-131,-130,0,-1,299,278,277,274,1590185296790
-132,-130,0,-1,299,277,275,274,1590185299217
-131,-130,0,-1,299,277,275,274,1590185301647
-131,-131,0,0,299,277,277,277,1590185304076
-131,-132,0,0,300,278,278,277,1590185306507
-132,-131,0,0,300,278,277,276,1590185308936
-133,-130,0,-1,300,277,275,274,1590185311367
-132,-129,0,-1,300,277,275,274,1590185313797
-131,-131,0,0,300,277,276,276,1590185316227
-130,-130,0,-1,300,277,275,274,1590185318667
-132,-130,0,-1,300,277,275,274,1590185321121
-132,-132,0,0,300,277,278,277,1590185323557
-132,-132,0,0,300,278,278,277,1590185325987
-133,-130,0,-1,300,277,276,275,1590185328417
-132,-130,0,-1,300,277,275,274,1590185330847
-131,-130,0,-1,300,278,277,274,1590185333220
-132,-130,0,-1,300,277,275,274,1590185335648
-131,-130,0,-1,300,277,275,275,1590185338076
-131,-131,0,0,300,278,277,277,1590185340506
-131,-132,0,0,299,278,278,277,1590185342936
-132,-131,0,0,299,278,277,276,1590185345366
-133,-130,0,-1,300,278,276,276,1590185347806
-131,-132,0,0,300,278,278,277,1590185350236
-132,-132,0,0,300,278,277,277,1590185352666
-133,-130,0,-1,300,277,276,275,1590185355097
-132,-130,0,-1,300,277,275,274,1590185357526
-131,-130,0,0,300,277,276,275,1590185359956
-131,-131,0,0,300,278,278,277,1590185362386
-132,-132,0,0,300,278,278,277,1590185364816
-133,-131,0,-1,300,277,276,275,1590185367246
-132,-130,0,-1,300,277,275,274,1590185369677
-131,-130,0,-1,300,277,276,277,1590185372117
-133,-130,0,-1,300,278,276,275,1590185374546
-132,-130,0,-1,300,277,275,274,1590185376976
-132,-130,0,-1,300,278,278,274,1590185379350
-132,-130,0,-1,300,277,275,274,1590185381776
-131,-130,0,-1,300,277,276,275,1590185384206
-131,-132,0,0,300,278,278,277,1590185386637
-132,-132,0,0,300,278,278,277,1590185389066
-133,-131,0,-1,300,277,276,275,1590185391496
-132,-130,0,-1,300,277,275,275,1590185393927
-131,-131,0,0,300,278,277,276,1590185396356
-131,-131,0,0,300,278,278,277,1590185398786
-132,-131,0,0,300,278,277,277,1590185401216
-133,-130,0,-1,300,277,275,275,1590185403646
-131,-130,0,-1,300,277,275,274,1590185406076
-130,-131,0,0,300,278,277,277,1590185408506
-131,-132,0,0,300,278,278,277,1590185410936
-132,-131,0,0,300,278,277,276,1590185413366
-133,-130,0,-1,300,277,275,275,1590185415796
-131,-130,0,-1,300,277,276,275,1590185418226
-131,-131,0,0,300,278,278,277,1590185420656
-132,-132,0,0,300,278,278,277,1590185423086
-133,-130,0,-1,300,277,276,275,1590185425516
-132,-130,0,-1,300,277,275,275,1590185427947
-131,-130,0,-1,300,278,276,275,1590185430376
-131,-131,0,0,300,278,278,277,1590185432806
-132,-132,0,0,300,278,278,277,1590185435236
-133,-130,0,-1,300,278,276,275,1590185437666
-132,-130,0,-1,300,277,275,275,1590185440096
-131,-131,0,-1,300,278,276,276,1590185442526
-131,-132,0,0,300,278,278,277,1590185444957
-132,-132,0,0,300,278,278,277,1590185447386
-132,-131,0,0,300,278,277,276,1590185449816
-133,-130,0,-1,300,278,278,276,1590185452270
-132,-131,0,0,300,278,277,277,1590185454706
-131,-132,0,0,300,278,278,277,1590185457137
-132,-132,0,0,300,278,278,277,1590185459567
-133,-131,0,-1,300,278,276,275,1590185461997
-132,-130,0,-1,300,277,275,274,1590185464426
-131,-130,0,-1,300,278,276,275,1590185466856
-130,-132,0,0,300,278,278,277,1590185469286
-131,-130,0,-1,300,278,275,274,1590185471727
-132,-132,0,0,300,279,278,277,1590185474166
-133,-131,0,0,300,278,276,276,1590185476596
-132,-130,0,-1,300,278,275,275,1590185479027
-131,-130,0,-1,300,277,276,275,1590185481456
-131,-131,0,0,300,278,278,277,1590185483886
-132,-132,0,0,300,278,278,277,1590185486317
-133,-130,0,-1,300,278,276,275,1590185488746
-132,-130,0,-1,300,278,275,275,1590185491177
-131,-131,0,0,300,278,277,276,1590185493606
-131,-132,0,0,300,278,278,277,1590185496037
-132,-131,0,0,300,278,277,276,1590185498467
-133,-130,0,-1,300,277,276,275,1590185500896
-131,-130,0,-1,300,278,275,275,1590185503327
-132,-131,0,-1,300,278,276,276,1590185505777
-131,-132,0,0,300,278,278,277,1590185508206
-132,-131,0,0,300,278,278,276,1590185510636
-133,-130,0,-1,300,277,277,275,1590185513066
-132,-130,0,-1,300,277,275,275,1590185515496
-131,-131,0,0,300,278,277,277,1590185517926
-132,-132,0,0,300,278,278,278,1590185520357
-133,-131,0,0,300,278,276,276,1590185522786
-132,-130,0,-1,300,278,275,275,1590185525216
-131,-130,0,-1,300,278,276,275,1590185527646
-131,-132,0,0,300,278,277,277,1590185530076
-132,-130,0,-1,300,278,278,277,1590185532451
-131,-131,0,0,300,278,278,276,1590185534887
-133,-130,0,-1,300,278,275,275,1590185537317
-131,-130,0,-1,301,278,275,275,1590185539747
-130,-131,0,0,301,278,278,277,1590185542176
-131,-131,0,0,300,278,278,278,1590185544607
-132,-131,0,0,300,278,278,277,1590185547037
-133,-131,0,-1,300,278,276,275,1590185549466
-132,-130,0,-1,300,277,276,275,1590185551896
-131,-130,0,-1,300,278,276,275,1590185554327
-131,-132,0,0,300,278,278,277,1590185556756
-132,-132,0,0,300,277,279,277,1590185559130
-131,-131,0,0,300,278,277,277,1590185561557
-131,-132,0,0,300,278,278,277,1590185563986
-132,-131,0,0,300,278,277,277,1590185566416
-133,-130,0,-1,300,278,276,275,1590185568846
-132,-130,0,-1,300,278,275,275,1590185571276
-131,-131,0,0,300,278,277,276,1590185573707
-131,-132,0,0,301,278,278,277,1590185576137
-132,-132,0,0,301,278,278,277,1590185578577
-130,-131,0,0,301,278,277,276,1590185581006
-130,-131,0,0,301,278,278,277,1590185583436
-132,-131,0,0,301,278,278,277,1590185585867
-132,-130,0,0,301,277,278,277,1590185588280
-130,-131,0,0,301,278,278,277,1590185590706
-131,-132,0,0,301,279,278,277,1590185593137
-132,-130,0,0,301,278,278,278,1590185595586
-132,-130,0,-1,301,278,276,276,1590185598016
-132,-129,0,-1,301,278,275,275,1590185600446
-130,-130,0,-1,301,278,276,276,1590185602877
-130,-131,0,0,301,278,278,278,1590185605306
-132,-131,0,0,301,278,277,277,1590185607736
-132,-130,0,-1,301,278,276,275,1590185610166
-131,-129,0,0,301,278,277,277,1590185612550
-130,-131,0,0,301,278,278,277,1590185614976
-131,-131,0,0,301,278,278,278,1590185617406
